Alpha Value,rss
alpha_1e-15,7.23688
alpha_1e-10,7.23688
alpha_1e-08,7.23688
alpha_0.0001,7.2369
alpha_0.001,7.23812
alpha_0.01,7.30575
alpha_0.1,8.3252
alpha_5,18.2472
alpha_10,21.6998
alpha_20,25.9621
