Hotel,fecha,occ,habs_disp,tp,po,pt,te
CEINS,2018-02-06,0.90566,159,1860.32,0.981001,1.13406,1684.82
CEINS,2018-02-07,1,159,1806.12,1.01051,1.10588,1806.12
CEINS,2018-02-08,1,159,1817.08,1.12309,1.08903,1817.08
CEINS,2018-02-09,0.836478,159,1336.54,1.1936,0.955941,1117.99
CEINS,2018-02-10,0.672956,159,1247.17,1.18813,0.926898,839.291
CEINS,2018-02-11,0.704403,159,1344.21,1.24189,0.964548,946.867
CEINS,2018-02-12,0.930818,159,1706.88,1.12854,1.03062,1588.8
CEINS,2018-02-13,0.962264,159,1723.58,1.02894,0.992672,1658.54
CEINS,2018-02-14,0.955975,159,1749,1.07558,1.05986,1672
CEINS,2018-02-15,1,159,1749.79,1.10424,1.04229,1749.79
CEINS,2018-02-16,0.855346,159,1373.38,1.27587,1.0186,1174.72
CEINS,2018-02-17,0.811321,159,1280.93,1.29356,0.967559,1039.25
CEINS,2018-02-18,0.81761,159,1361.38,1.24788,0.97252,1113.08
CEINS,2018-02-19,0.974843,159,1791.07,0.992307,1.08197,1746.01
CEINS,2018-02-20,1,159,1741.5,1.0008,1.01581,1741.5
CEINS,2018-02-21,1,159,1851.18,1.00725,1.01533,1851.18
CEINS,2018-02-22,0.874214,159,1822.48,0.904609,1.02622,1593.24
CEINS,2018-02-23,0.949686,159,1428.16,1.12629,0.946075,1356.3
CEINS,2018-02-24,0.886792,159,1286.82,1.15951,0.906396,1141.14
CEINS,2018-02-25,0.660377,159,1304.56,0.990962,0.870945,861.503
CEINS,2018-02-26,0.522013,159,1778.37,0.672697,1.05225,928.331
CEINS,2018-02-27,0.597484,159,1777.84,0.685188,1.02055,1062.23
CEINS,2018-02-28,0.742138,159,1683.7,0.769853,0.991441,1249.54
CEINS,2018-03-01,0.874214,159,1786.91,0.892055,1.0801,1562.14
CEINS,2018-03-02,0.528302,159,1415.93,0.666375,1.00094,748.041
CEINS,2018-03-03,0.415094,159,1404.24,0.678259,1.02618,582.893
CEINS,2018-03-04,0.597484,159,1535.57,0.894438,0.997537,917.478
CEINS,2018-03-05,0.811321,159,1787.39,0.915299,1.08504,1450.15
CEINS,2018-03-06,0.849057,159,1837.22,0.901717,1.09191,1559.9
CEINS,2018-03-07,1,159,1885.17,1.0016,1.10962,1885.17
CEINS,2018-03-08,0.811321,159,1831.99,0.884177,1.12197,1486.33
CEINS,2018-03-09,0.72327,159,1605.43,1.01469,1.08997,1161.16
CEINS,2018-03-10,0.490566,159,1592.23,0.873515,1.1929,781.095
CEINS,2018-03-11,0.628931,159,1606.66,1.14434,1.07401,1010.47
CEINS,2018-03-12,0.767296,159,1829.7,0.962971,1.08708,1403.92
CEINS,2018-03-13,0.81761,159,1906.55,0.866112,1.09861,1558.82
CEINS,2018-03-14,0.886792,159,1858.26,0.926057,1.07266,1647.89
CEINS,2018-03-15,0.811321,159,1802.64,0.881104,1.08431,1462.52
CEINS,2018-03-16,0.779874,159,1273.56,1.1932,0.898328,993.213
CEINS,2018-03-17,0.553459,159,1255.37,0.81583,0.934782,694.797
CEINS,2018-03-18,0.509434,159,1339.56,1.26599,1.00632,682.415
CEINS,2018-03-19,0.528302,159,1694.61,1.08259,1.04427,895.264
CEINS,2018-03-20,0.91195,159,1852.87,1.18867,1.05511,1689.72
CEINS,2018-03-21,0.974843,159,1842.21,1.05961,1.00621,1795.87
CEINS,2018-03-22,0.899371,159,1469.2,1.13328,0.879018,1321.36
CEINS,2018-03-23,0.584906,159,1356.48,1.1869,1.02466,793.412
CEINS,2018-03-24,0.496855,159,1259.52,1.08769,1.01104,625.801
CEINS,2018-03-25,0.396226,159,1319.51,1.07204,1.00499,522.825
CEINS,2018-03-26,0.490566,159,1288.37,0.978002,1.01948,632.031
CEINS,2018-03-27,0.509434,159,1222.01,1.04051,0.97863,622.532
CEINS,2018-03-28,0.421384,159,1169,0.880819,0.940184,492.599
CEINS,2018-03-29,0.622642,159,1365.06,1.10869,1.11698,849.94
CEINS,2018-03-30,0.704403,159,1119.37,1.16778,0.954127,788.49
CEINS,2018-03-31,0.679245,159,1114.01,1.22342,0.950876,756.684
CEINS,2018-04-01,0.566038,159,1212.6,1.25898,0.942867,686.375
CEINS,2018-04-02,0.90566,159,1326.41,1.37221,0.945619,1201.27
CEINS,2018-04-03,0.899371,159,1441.56,1.14482,0.990648,1296.5
CEINS,2018-04-04,0.937107,159,1574.77,1.07466,1.04194,1475.73
CEINS,2018-04-05,0.937107,159,1496.06,1.1518,0.992798,1401.97
CEINS,2018-04-06,0.72327,159,1207.35,1.11067,0.884617,873.242
CEINS,2018-04-07,0.63522,159,1159.08,1.36196,0.811176,736.268
CEINS,2018-04-08,0.761006,159,1310.44,1.27686,0.9058,997.252
CEINS,2018-04-09,0.962264,159,1747.86,1.09948,1.09666,1681.9
CEINS,2018-04-10,1,159,1789.46,1.07112,1.06815,1789.46
CEINS,2018-04-11,1,159,1869.08,1.01543,1.09615,1869.08
CEINS,2018-04-12,0.937107,159,1857.25,1.06878,1.19572,1740.44
CEINS,2018-04-13,0.91195,159,1285.97,1.40559,0.945471,1172.74
CEINS,2018-04-14,0.767296,159,1307.98,1.37607,0.926579,1003.61
CEINS,2018-04-15,0.72956,159,1378.75,1.28083,0.977481,1005.88
CEINS,2018-04-16,0.937107,159,1760.9,1.16324,1.09154,1650.15
CEINS,2018-04-17,1,159,1745.23,1.09745,1.02507,1745.23
CEINS,2018-04-18,0.981132,159,1807.42,1.00034,1.01987,1773.32
CEINS,2018-04-19,0.968553,159,1816.75,1.06294,1.08724,1759.62
CEINS,2018-04-20,0.641509,159,1438.19,0.946738,1.01218,922.613
CEINS,2018-04-21,0.440252,159,1353.13,0.759054,1.00647,595.719
CEINS,2018-04-22,0.742138,159,1385.94,1.03075,0.958226,1028.56
CEINS,2018-04-23,0.924528,159,1818.96,0.99798,1.0176,1681.68
CEINS,2018-04-24,1,159,1877.82,1.0008,1.05163,1877.82
