Fecha,Tipo de Cambio
20/08/2017,17.7324
21/08/2017,17.7324
22/08/2017,17.8584
23/08/2017,17.6501
24/08/2017,17.6458
25/08/2017,17.7113
26/08/2017,17.6977
27/08/2017,17.6977
28/08/2017,17.6977
29/08/2017,17.6205
30/08/2017,17.8049
31/08/2017,17.8760
01/09/2017,17.7753
02/09/2017,17.8145
03/09/2017,17.8145
04/09/2017,17.8145
05/09/2017,17.7861
06/09/2017,17.8683
07/09/2017,17.8360
08/09/2017,17.8136
09/09/2017,17.6965
10/09/2017,17.6965
11/09/2017,17.6965
12/09/2017,17.7331
13/09/2017,17.6443
14/09/2017,17.7810
15/09/2017,17.7836
16/09/2017,17.7278
17/09/2017,17.7278
18/09/2017,17.7278
19/09/2017,17.6857
20/09/2017,17.7610
21/09/2017,17.7643
22/09/2017,17.7009
23/09/2017,17.8545
24/09/2017,17.8545
25/09/2017,17.8545
26/09/2017,17.7487
27/09/2017,17.8831
28/09/2017,17.9933
29/09/2017,18.1300
30/09/2017,18.1979
01/10/2017,18.1979
02/10/2017,18.1979
03/10/2017,18.1590
04/10/2017,18.2337
05/10/2017,18.2113
06/10/2017,18.2282
07/10/2017,18.3060
08/10/2017,18.3060
09/10/2017,18.3060
10/10/2017,18.5522
11/10/2017,18.6646
12/10/2017,18.6327
13/10/2017,18.7180
14/10/2017,18.7631
15/10/2017,18.7631
16/10/2017,18.7631
17/10/2017,18.9008
18/10/2017,19.0753
19/10/2017,19.0117
20/10/2017,18.8869
21/10/2017,18.8248
22/10/2017,18.8248
23/10/2017,18.8248
24/10/2017,19.0080
25/10/2017,19.0489
26/10/2017,19.2009
27/10/2017,19.0770
28/10/2017,19.0960
29/10/2017,19.0960
30/10/2017,19.0960
31/10/2017,19.1474
01/11/2017,19.2188
02/11/2017,19.1478
03/11/2017,19.1478
04/11/2017,19.1241
05/11/2017,19.1241
06/11/2017,19.1241
07/11/2017,19.1850
08/11/2017,19.0814
09/11/2017,19.1349
10/11/2017,19.0718
11/11/2017,19.0900
12/11/2017,19.0900
13/11/2017,19.0900
14/11/2017,19.0526
15/11/2017,19.1680
16/11/2017,19.1334
17/11/2017,19.2268
18/11/2017,19.1224
19/11/2017,19.1224
20/11/2017,19.1224
21/11/2017,19.1224
22/11/2017,18.9724
23/11/2017,18.8242
24/11/2017,18.7400
25/11/2017,18.6041
26/11/2017,18.6041
27/11/2017,18.6041
28/11/2017,18.5379
29/11/2017,18.5200
30/11/2017,18.5848
01/12/2017,18.5190
02/12/2017,18.6229
03/12/2017,18.6229
04/12/2017,18.6229
05/12/2017,18.6399
06/12/2017,18.6420
07/12/2017,18.6958
08/12/2017,18.8897
09/12/2017,18.9315
10/12/2017,18.9315
11/12/2017,18.9315
12/12/2017,18.9445
13/12/2017,18.9445
14/12/2017,18.9740
15/12/2017,19.1391
16/12/2017,19.1202
17/12/2017,19.1202
18/12/2017,19.1202
19/12/2017,19.1289
20/12/2017,19.0289
21/12/2017,19.1913
22/12/2017,19.2291
23/12/2017,19.3962
24/12/2017,19.3962
25/12/2017,19.3962
26/12/2017,19.3962
27/12/2017,19.5848
28/12/2017,19.7223
29/12/2017,19.7867
30/12/2017,19.7354
31/12/2017,19.7354
01/01/2018,19.7354
02/01/2018,19.7354
03/01/2018,19.6629
04/01/2018,19.4899
05/01/2018,19.3717
06/01/2018,19.2427
07/01/2018,19.2427
08/01/2018,19.2427
09/01/2018,19.2737
10/01/2018,19.2323
11/01/2018,19.3065
12/01/2018,19.2405
13/01/2018,19.3433
14/01/2018,19.3433
15/01/2018,19.3433
16/01/2018,19.0446
17/01/2018,18.8113
18/01/2018,18.8362
19/01/2018,18.6550
20/01/2018,18.6361
21/01/2018,18.6361
22/01/2018,18.6361
23/01/2018,18.5813
24/01/2018,18.7118
25/01/2018,18.7980
26/01/2018,18.5178
27/01/2018,18.4780
28/01/2018,18.4780
29/01/2018,18.4780
30/01/2018,18.4672
31/01/2018,18.6196
01/02/2018,18.6982
02/02/2018,18.6069
03/02/2018,18.4004
04/02/2018,18.4004
05/02/2018,18.4004
06/02/2018,18.4004
07/02/2018,18.5248
08/02/2018,18.7009
09/02/2018,18.6492
10/02/2018,18.8815
11/02/2018,18.8815
12/02/2018,18.8815
13/02/2018,18.8623
14/02/2018,18.6703
15/02/2018,18.6269
16/02/2018,18.6025
17/02/2018,18.5159
18/02/2018,18.5159
19/02/2018,18.5159
20/02/2018,18.4797
21/02/2018,18.5360
22/02/2018,18.6594
23/02/2018,18.6518
24/02/2018,18.6574
25/02/2018,18.6574
26/02/2018,18.6574
27/02/2018,18.5659
28/02/2018,18.6456
01/03/2018,18.7902
02/03/2018,18.8331
03/03/2018,18.8610
04/03/2018,18.8610
05/03/2018,18.8610
06/03/2018,18.8909
07/03/2018,18.8838
08/03/2018,18.7246
09/03/2018,18.7922
10/03/2018,18.7148
11/03/2018,18.7148
12/03/2018,18.7148
13/03/2018,18.5812
14/03/2018,18.6199
15/03/2018,18.5604
16/03/2018,18.5854
17/03/2018,18.7023
18/03/2018,18.7023
19/03/2018,18.7023
20/03/2018,18.7023
21/03/2018,18.7216
22/03/2018,18.7614
23/03/2018,18.6001
24/03/2018,18.5078
25/03/2018,18.5078
26/03/2018,18.5078
27/03/2018,18.5364
28/03/2018,18.3268
29/03/2018,18.3445
30/03/2018,18.3445
31/03/2018,18.3445
01/04/2018,18.3445
02/04/2018,18.3445
03/04/2018,18.2709
04/04/2018,18.2967
05/04/2018,18.2044
06/04/2018,18.2244
07/04/2018,18.1081
08/04/2018,18.1081
09/04/2018,18.1081
10/04/2018,18.2888
11/04/2018,18.2753
12/04/2018,18.2882
13/04/2018,18.2018
14/04/2018,18.1353
15/04/2018,18.1353
16/04/2018,18.1353
17/04/2018,18.0870
18/04/2018,18.0394
19/04/2018,17.9787
20/04/2018,18.0333
21/04/2018,18.2819
22/04/2018,18.2819
23/04/2018,18.2819
24/04/2018,18.6210
25/04/2018,18.8628
26/04/2018,18.8139
27/04/2018,19.0530
28/04/2018,18.8644
29/04/2018,18.8644
30/04/2018,18.8644
01/05/2018,18.6847
02/05/2018,18.6847
03/05/2018,18.7878
04/05/2018,19.0943
05/05/2018,19.1223
06/05/2018,19.1223
07/05/2018,19.1223
08/05/2018,19.2017
09/05/2018,19.4232
10/05/2018,19.5781
11/05/2018,19.5387
12/05/2018,19.2989
13/05/2018,19.2989
14/05/2018,19.2989
15/05/2018,19.3539
16/05/2018,19.5214
17/05/2018,19.7854
18/05/2018,19.7094
19/05/2018,19.7033
20/05/2018,19.7033
21/05/2018,19.7033
22/05/2018,19.9319
23/05/2018,19.9054
24/05/2018,19.7528
25/05/2018,19.7661
26/05/2018,19.7048
27/05/2018,19.7048
28/05/2018,19.7048
29/05/2018,19.5608
30/05/2018,19.5915
31/05/2018,19.7499
01/06/2018,19.7322
02/06/2018,19.9759
03/06/2018,19.9759
04/06/2018,19.9759
05/06/2018,19.8662
06/06/2018,19.9934
07/06/2018,20.3863
08/06/2018,20.3129
09/06/2018,20.4600
10/06/2018,20.4600
11/06/2018,20.4600
12/06/2018,20.5281
13/06/2018,20.4722
14/06/2018,20.5960
15/06/2018,20.6259
16/06/2018,20.6953
17/06/2018,20.6953
18/06/2018,20.6953
