"Hotel","fecha","occ","habs_disp","tp","po","pt","te"
"CEINS","2017-09-18",0.761006,159,1603.84,0.861304,1.05334,1220.53
"CEINS","2017-09-19",0.90566,159,1687.93,0.969897,1.0115,1528.69
"CEINS","2017-09-20",0.654088,159,1596.03,0.964289,1.03095,1043.94
"CEINS","2017-09-21",0.459119,159,1524.67,0.80463,1.05383,700.004
"CEINS","2017-09-22",0.352201,159,1162.21,0.690335,0.935465,409.333
"CEINS","2017-09-23",0.295597,159,1126.22,0.647769,0.920894,332.909
"CEINS","2017-09-24",0.389937,159,1168.08,0.968849,0.937632,455.477
"CEINS","2017-09-25",0.597484,159,1532.22,0.999931,1.05656,915.479
"CEINS","2017-09-26",0.704403,159,1555.27,1.05892,1.03025,1095.53
"CEINS","2017-09-27",0.90566,159,1562.9,1.24438,1.0292,1415.45
"CEINS","2017-09-28",0.798742,159,1597.73,1.15645,1.10172,1276.17
"CEINS","2017-09-29",0.553459,159,1169.98,0.957749,0.796982,647.534
"CEINS","2017-09-30",0.503145,159,1128.63,1.03491,0.955149,567.863
"CEINS","2017-10-01",0.641509,159,1237.71,1.12571,0.932684,794.004
"CEINS","2017-10-02",0.798742,159,1554.56,1.01996,1.052,1241.69
"CEINS","2017-10-03",0.886792,159,1553.25,0.973205,1.00819,1377.41
"CEINS","2017-10-04",0.987421,159,1610.82,1.01323,1.02101,1590.56
"CEINS","2017-10-05",0.91195,159,1607.76,1.01871,1.05067,1466.19
"CEINS","2017-10-06",0.716981,159,1157,0.939115,0.89393,829.546
"CEINS","2017-10-07",0.691824,159,1088.05,1.05618,0.90403,752.74
"CEINS","2017-10-08",0.754717,159,1167.43,0.916061,0.910967,881.077
"CEINS","2017-10-09",0.704403,159,1531.61,0.840877,1.00852,1078.87
"CEINS","2017-10-10",0.899371,159,1542.16,0.952031,1.00319,1386.97
"CEINS","2017-10-11",0.874214,159,1567.91,0.939148,1.01107,1370.69
"CEINS","2017-10-12",0.867925,159,1487.2,0.960941,0.970871,1290.77
"CEINS","2017-10-13",0.679245,159,1147.03,0.924043,0.922868,779.115
"CEINS","2017-10-14",0.805031,159,1058.71,1.25981,0.911768,852.292
"CEINS","2017-10-15",0.867925,159,1181.95,1.16458,0.918681,1025.85
"CEINS","2017-10-16",0.962264,159,1572.52,1.06711,1.03878,1513.18
"CEINS","2017-10-17",1,159,1639.61,1.00512,1.00186,1639.61
"CEINS","2017-10-18",1,159,1573.84,1,0.963646,1573.84
"CEINS","2017-10-19",1,159,1599.66,1.00512,0.98903,1599.66
"CEINS","2017-10-20",0.72327,159,1377.92,0.833703,1.06967,996.608
"CEINS","2017-10-21",0.559748,159,1340.64,0.807872,1.09719,750.419
"CEINS","2017-10-22",0.767296,159,1304.02,1.32445,0.974976,1000.57
"CEINS","2017-10-23",0.937107,159,1606.21,1.07748,0.996347,1505.19
"CEINS","2017-10-24",1,159,1658.87,1.03698,0.992719,1658.87
"CEINS","2017-10-25",1,159,1705.78,1.00733,0.953001,1705.78
"CEINS","2017-10-26",1,159,1779.24,1.00219,0.879306,1779.24
"CEINS","2017-10-27",0.930818,159,1802.08,0.960889,0.857489,1677.4
"CEINS","2017-10-28",1,159,1767.76,1.01178,0.81616,1767.76
"CEINS","2017-10-29",0.773585,159,1455.83,1.00559,0.854873,1126.21
"CEINS","2017-10-30",0.962264,159,1543.05,1.12237,0.957154,1484.82
"CEINS","2017-10-31",0.786164,159,1542.12,0.946703,1.07477,1212.36
"CEINS","2017-11-01",0.465409,159,1528.87,0.778894,1.03842,711.548
