"id","beonprice_hotel_id","nombre","id","beonprice_hotel_id","fecha","precio","flag","created_at","updated_at"
143,"59d270af78be2f16218b45c6","City Express Plus Insurgentes Sur",6951,"59d270af78be2f16218b45c6","2017-11-16",1950.00,0,"2017-10-13 15:58:41","2017-10-18 13:23:41"
143,"59d270af78be2f16218b45c6","City Express Plus Insurgentes Sur",6952,"59d270af78be2f16218b45c6","2017-11-17",1560.00,0,"2017-10-13 15:58:41","2017-11-15 04:00:47"
143,"59d270af78be2f16218b45c6","City Express Plus Insurgentes Sur",6953,"59d270af78be2f16218b45c6","2017-11-18",1280.00,0,"2017-10-13 15:58:41","2017-10-20 04:00:31"
143,"59d270af78be2f16218b45c6","City Express Plus Insurgentes Sur",6954,"59d270af78be2f16218b45c6","2017-11-19",1560.00,0,"2017-10-13 15:58:41","2017-11-09 16:02:32"
143,"59d270af78be2f16218b45c6","City Express Plus Insurgentes Sur",6955,"59d270af78be2f16218b45c6","2017-11-20",1699.00,0,"2017-10-13 15:58:41","2017-11-09 16:02:32"
143,"59d270af78be2f16218b45c6","City Express Plus Insurgentes Sur",6956,"59d270af78be2f16218b45c6","2017-11-21",1699.00,0,"2017-10-13 15:58:41","2017-11-09 16:02:32"
143,"59d270af78be2f16218b45c6","City Express Plus Insurgentes Sur",6957,"59d270af78be2f16218b45c6","2017-11-22",2050.00,0,"2017-10-13 15:58:41","2017-11-18 04:00:46"
143,"59d270af78be2f16218b45c6","City Express Plus Insurgentes Sur",6958,"59d270af78be2f16218b45c6","2017-11-23",2050.00,0,"2017-10-13 15:58:41","2017-11-18 04:00:46"
143,"59d270af78be2f16218b45c6","City Express Plus Insurgentes Sur",6959,"59d270af78be2f16218b45c6","2017-11-24",960.00,0,"2017-10-13 15:58:41","2017-10-18 13:23:41"
143,"59d270af78be2f16218b45c6","City Express Plus Insurgentes Sur",6960,"59d270af78be2f16218b45c6","2017-11-25",1120.00,0,"2017-10-13 15:58:41","2017-11-24 04:00:55"
143,"59d270af78be2f16218b45c6","City Express Plus Insurgentes Sur",6961,"59d270af78be2f16218b45c6","2017-11-26",1120.00,0,"2017-10-13 15:58:41","2017-11-24 04:00:55"
143,"59d270af78be2f16218b45c6","City Express Plus Insurgentes Sur",6962,"59d270af78be2f16218b45c6","2017-11-27",2000.00,0,"2017-10-13 15:58:42","2017-11-24 04:00:55"
143,"59d270af78be2f16218b45c6","City Express Plus Insurgentes Sur",6963,"59d270af78be2f16218b45c6","2017-11-28",2000.00,0,"2017-10-13 15:58:42","2017-11-24 04:00:55"
143,"59d270af78be2f16218b45c6","City Express Plus Insurgentes Sur",6964,"59d270af78be2f16218b45c6","2017-11-29",2000.00,0,"2017-10-13 15:58:42","2017-11-24 04:00:55"
143,"59d270af78be2f16218b45c6","City Express Plus Insurgentes Sur",6965,"59d270af78be2f16218b45c6","2017-11-30",2000.00,0,"2017-10-13 15:58:42","2017-11-24 04:00:55"
143,"59d270af78be2f16218b45c6","City Express Plus Insurgentes Sur",6966,"59d270af78be2f16218b45c6","2017-12-01",1280.00,0,"2017-10-13 15:58:42","2017-11-24 04:00:55"
