"plaza","hotel","valor"
"CEMTA","Ibis Aeropuerto",2.7
"CEMTA","One",3.35
"CEMTN","Wyndham",3.75
"CEMTN","Holiday Inn",4.2
"CEMTN","Best Western",3.55
"CEMTR","Fiesta Inn",3.8
"CEMTR","Holiday Inn",3.85
"CEMTR","Holiday Inn Express Tecnologico",3.55
"CEMTT","Best Western Minatitlán",3
"CEMTY","Holiday Inn Galerias",0
"CEMTY","Holiday Inn Centro (RIO)",0
"CEMTY","Hampton Inn Galerias",0
"CEMTY","Best Western",0
"CEMTY","Best Western Valle Real",3.45
"CEMXL","Calafia",3.55
"CEMXL","Araiza",4.05
"CEMXL","Fiesta inn",3.8
"CEMXL","Colonial",2.45
"CEMXL","Lucerna",4.1
"CEMXL","Real Inn Mexicali",4
"CEMZT","Mision",4.9
"CEMZT","Fiesta Inn",0
"CEMZT","Aguamarina",4.45
"CEMZT","Best Western Posada Freeman",4.7
"CEMZT","Don Pelayo",4.5
"CENLD","HIE",3.7
"CENLD","Hilton Garden Inn",0
"CENLD","Fiesta Inn",3.95
"CENLD","Best Western",4.05
"CENLD","Real Inn",4.3
"CENLD","Santa Maria",0
"CENLD","Quality Inn",4.2
"CENOG","Fiesta Inn",4.4
"CEOAX","Fiesta Inn",4.45
"CEOAX","Holiday Inn Express",4.15
"CEOAX","Fortin Plaza",4.1
"CEOAX","Victoria",3.1
"CEOAX","One",3.65
"CEPAN","La Quinta",4.95
"CEPAN","Holiday Inn La Noria",4.85
"CEPAN","Villa Florida",4.4
"CEPAN","Fiesta Inn Las Animas",4.95
"CEPAN","Holiday inn Express Y Suites",4.95
"CEPAN","HIE",5
"CEPAN","Courtyard Marriot",5
"CEPAN","Camino Real Angelopolis",5
"CEPAN","Camino Real Y Suites",5
"CEPAN","Barcelo JF Puebla",4.75
"CEPAT","Baez Paraiso",3.5
"CEPAT","Holiday Inn",4.45
"CEPAU","Holiday Inn",4.85
"CEPAU","CS Puebla Autopista",3.85
"CEPAU","Fiesta Inn",4.55
"CEPAU","One",3.35
"CEPAZ","Hotel Victoria",0
"CEPAZ","Paris Hotel FC",4.05
"CEPAZ","Quinta Inn",4.55
"CEPAZ","Rio Vista Inn",3.55
"CEPAZ","Fiesta Inn",4.2
"CEPAZ","Best Western",0
"CEPAZ","Holiday Inn",0
"CEPAZ","Hipico Inn",3.85
"CEPDC","Fiesta Inn",4.45
"CEPDC","Wyndham Garden",3.9
"CEPDC","Magic Express",0
"CEPDC","One",3.45
"CEPDS","Quality Inn Piedras Negras",3.35
"CEPDS","Best Western",3.3
"CEPDS","Holiday Inn Express Piedras Negras",3.6
"CEPUE","Posada San Pedro",3.85
"CEPUE","San Leonardo",4.3
"CEPUE","NH Puebla",4.95
"CEPUE","Ikonik",4.7
"CEPUN","Holiday Inn Plaza Universidad",4.55
"CEPUN","Holiday Inn Revolucion",4.35
"CEPUN","Holiday Inn Tlalpan",4.4
"CEPUN","City Express Insurgentes",4.35
"CEPUN","Fiesta Inn Teatro de Los Insurgentes",4.65
"CEQRJ","Hampton Inn",3.5
"CEQRJ","Encore",3.8
"CEQRJ","Holiday Inn",0
"CEQRJ","Camelinas",3.45
"CEQRJ","4 Points By Sheraton",0
"CEQRJ","Fiesta Inn",4.1
"CEQRJ","Holiday Inn Kristal",0
"CEQRJ","Home 2 Suites",0
"CEQRJ","Mision Express",0
"CEQRJ","NH",3.15
"CEQRJ","One",2.45
"CEQRJ","Zar",0
"CEQRJ","Staybridge",0
"CEQRO","Radisson PC",0
"CEQRO","Occidental by Barcelo",3.7
"CEQRO","Real de Minas",0
"CEQRO","ONE",3.1
"CEQRO","Mercury",0
"CEQRO","One Centro Sur",3.4
"CEQRO","NH",3.7
"CEQRO","IBIS",2.7
"CEQRO","Fiesta Inn",4.55
"CEQRO","Domun",4.4
"CEQRO","Holiday Inn CH",0
"CEQRO","Fiesta Inn Centro Sur",4.55
"CEREA","Hampton Inn",3.95
"CEREA","Fiesta Inn",3.85
"CEREA","Holiday Inn I.P",3.95
"CEREA","Holiday Inn Z.D.",3.9
"CEREA","One",3.3
"CEREX","One",3.45
"CEREX","Holiday inn ZD",0
"CEREX","Holiday Inn IP",4.5
"CEREX","Fiesta Inn",0
"CEREX","Best Western",0
"CEREX","Hampton Inn",4.7
"CEROS","Festival Plaza",3.15
"CEROS","Pueblito Inn",2.9
"CESAL","Quality Inn Eurotel",3.3
"CESAL","Park Inn",0
"CESAL","Quinta Dorada",3.65
"CESAL","Hampton Inn",4.05
"CESAL","Four Points",3.8
"CESAL","HIE",4.3
"CESAL","Camino Real",4.15
"CESAL","Fiesta Inn",4.65
"CESCX","One",4.25
"CESFE","Novohotel",4.3
"CESFE","NH Santa Fe",4.8
"CESFE","Comfort Inn",4.3
"CESFE","Camino Real Santa Fe",4.8
"CESFE","Holiday inn Express Santa Fe",4.65
"CESFE","Fiesta Inn Santa Fe",4.75
"CESIL","Hampton Inn",4.7
"CESIL","ONE Silao",3.75
"CESIL","Holiday Inn Guanajuato",0
"CESIL","Holiday Inn Silao",0
"CESIL","Wyndham Garden Bajio Aeropuerto",4.35
"CESJO","WYNDHAM",4.5
"CESJO","Double Tree Cariari",1
"CESJO","Best Western",4.35
"CESJO","Barcelo",1
"CESJO","Country Inn",4.2
"CESLM","Hampton Inn",4.7
"CESLM","Holiday Inn",4.95
"CESLM","One",3.5
"CESLP","One",3.5
"CESLP","Ibis",3.45
"CESLP","La Quinta Inn",0
"CESLP","Holiday Inn",4.8
"CESLP","HIE",4.75
"CESLP","Encore",4.45
"CESLP","Fiesta Inn Oriente",4.6
"CESLP","CS San Luis Potosi",4
"CESLP","Courtyard Marriot",0
"CESLP","Fiesta Inn",4.25
"CESLU","CJSLP ",4.05
"CESLU","Ankara",4.15
"CESLU","Westin",4.8
"CESLU","Real Inn",4.8
"CESLW","One Derramadero",2.65
"CESLW","Camino Real",4.15
"CESTL","Fiesta Inn Naucalpan",4.3
